category,sub_category,price,image_url,addr_pr,slug,store,name
ACCESSOIRES,Périphérique,"999,000 DT",http://www.mytek.tn/33948-large_default/onduleur-on-line-eaton-powerware-9130-1000va.jpg,http://www.mytek.tn/onduleur-tunisie/6775-onduleur-on-line-eaton-powerware-9130-1000va.html,,My Teck,Onduleur On-Line Eaton PowerWare 9130 1000VA
INFORMATIQUE,Ordinateurs portables,"1 999,000 DT",http://www.mytek.tn/37650-large_default/pc-portable-asus-zenbook-ux310uq-i5-8go-1to-2go-dediee.jpg,http://www.mytek.tn/pc-portable/8054-pc-portable-asus-zenbook-ux310uq-i5-8go-1to-2go-dediee.html,,My Teck,PC Portable Asus ZenBook UX310UQ i5 8Go 1To 2Go dédiée
ÉLECTROMENAGER,Gros Electroménager,"249,000 DT",http://www.mytek.tn/45652-large_default/-four-micro-onde-uno-encastrable-inox.jpg,http://www.mytek.tn/four/9250--four-micro-onde-uno-encastrable-inox.html,,My Teck, Four Micro Onde UNO Encastrable Inox
RESEAUX & SECURITE,RESEAUX & SECURITE,"3,900 DT",http://www.mytek.tn/28890-large_default/astrum-cable-reseau-5m-tunsie.jpg,http://www.mytek.tn/cables-reseau-tunisie/4181-astrum-cable-reseau-5m-tunsie.html,,My Teck,ASTRUM CABLE RESEAU 5M
RESEAUX & SECURITE,RESEAUX & SECURITE,"3,500 DT",http://www.mytek.tn/33039-large_default/cable-vga-to-vga-blinde-15-metre.jpg,http://www.mytek.tn/cables-video-tunisie/6447-cable-vga-to-vga-blinde-15-metre.html,,My Teck,Cable VGA To VGA Blindé - 1.5 Metre
RESEAUX & SECURITE,RESEAUX & SECURITE,"3,500 DT",http://www.mytek.tn/36516-large_default/cable-d-alimentation-tripolaire-en-trefle-pour-chargeur.jpg,http://www.mytek.tn/cables-usb/7625-cable-d-alimentation-tripolaire-en-trefle-pour-chargeur.html,,My Teck,Cable D'alimentation Tripolaire en Trefle Pour Chargeur
SPORTS & LOISIRS,SPORTS,"899,000 DT",http://www.mytek.tn/41268-large_default/tapis-roulant-zimota-kif-sport-k10.jpg,http://www.mytek.tn/equipement-de-fitness/9100-tapis-roulant-zimota-kif-sport-k10.html,,My Teck,Tapis Roulant KIF SPORT K10
ÉLECTROMENAGER,Préparation culinaire,"269,000 DT",http://www.mytek.tn/45308-large_default/pack-russell-hobbs-desire-blender-18996-56-mixeur-18976-56-mini-hachoir-20320-56.jpg,http://www.mytek.tn/robot-tunisie/10789-pack-russell-hobbs-desire-blender-18996-56-mixeur-18976-56-mini-hachoir-20320-56.html,,My Teck,Pack RUSSELL HOBBS Desire Blender 18996-56 + Mixeur 18976-56 + Mini Hachoir 20320-56
RESEAUX & SECURITE,RESEAUX & SECURITE,"3,900 DT",http://www.mytek.tn/30376-large_default/cable-usb-2-pour-imprimante-15-metre-tunsie.jpg,http://www.mytek.tn/cable-usb-tunisie/4642-cable-usb-2-pour-imprimante-15-metre-tunsie.html,,My Teck,CABLE USB 2 POUR IMPRIMANTE 1.5 METRE
INFORMATIQUE,Composants,"3,500 DT",http://www.mytek.tn/22019-large_default/lecteur-de-carte-usb-wd-tunsie.jpg,http://www.mytek.tn/lecteur-de-cartes-tunisie/3443-lecteur-de-carte-usb-wd-tunsie.html,,My Teck,Lecteur de Carte USB WD
GAMING,GAMING,"11,500 DT",http://www.mytek.tn/31893-large_default/manette-de-jeux-qmax-gp300-double-vibration-tunsie.jpg,http://www.mytek.tn/manettes/6139-manette-de-jeux-qmax-gp300-double-vibration-tunsie.html,,My Teck,Manette de Jeux QMAX GP300 Double Vibration
INFORMATIQUE,INFORMATIQUE,"2,900 DT",http://www.mytek.tn/38623-large_default/souris-optique-macro-km-179.jpg,http://www.mytek.tn/souris-tapis/8394-souris-optique-macro-km-179.html,,My Teck,Souris Optique Macro KM-179
RESEAUX & SECURITE,RESEAUX & SECURITE,"3,500 DT",http://www.mytek.tn/43830-large_default/cable-reseau-utp-cat-5e-1m.jpg,http://www.mytek.tn/cables-reseau-tunisie/9949-cable-reseau-utp-cat-5e-1m.html,,My Teck,Cable Reseau UTP cat 5E 1M
